ID,PART,KEY,BPM,TITLE,ORIGIN,ARTIST,SEASON,YEAR,TYPE,NOTES
000001,"Intro, Verse, Prechorus, Chorus","D Major, A Major, A Major, D Major","81.5, 81.5, 81.5, 81.5",CHA-LA HEAD CHA-LA,Dragon Ball Z,Hironobu Kageyama,Spring,1989,Anime,
000002,,F Major,71,Kimi ga Suki da to Sake Bitai,Slam Dunk,Baad,Fall,1993,Anime,
000003,,E Major,84.056,D-TecnoLife,Bleach,UVERworld,Spring,2005,Anime,
000004,,G Major,71,Red fraction,Black Lagoon,MELL,Spring,2006,Anime,
000005,,D Major,83,Sakura Kiss,Ouran High School Host Club,Chieko Kawabe,,2006,Anime,
000006,,A# Major,82,PAPERMOON,Soul Eater,Tommy heavenly6,,2008,Anime,
000007,"Verse, Chorus","C Major, D# Major","75, 75",Monochrome Kiss,Black Butler,SID,,2008,Anime,
000008,,E Major,72.5,Special days,Special A,"Hitomi Nabatame, Yuuko Gotou, Ayahi Takagaki",,2008,Anime,
000009,,A Major,76,Blue Bird,Naruto Shippuden,Ikimono-gakari,,2008,Anime,
000010,,F Major,80,Pre-Parade,Toradora!,"Rie Kugimiya, Yui Horie, Eri Kitamura",,2008,Anime,
000011,,E Major,85,Cagayake Girls,K-On!,Houkago Tea Time,,2009,Anime,
000012,,E Major,70,Vanilla Salt,Toradora,Yui Horie,,2009,Anime,
000013,"Verse, Chorus, Last Chorus","C Major, C Major, D Major","78.07, 78.07, 78.07",Hologram,Fullmetal Alchemist: Brotherhood,NICO Touches the Walls,,2009,Anime,
000014,"Verse, Prechorus, Chorus, Bridge","D Major, D Major, E Major, E Major","72.5, 72.5, 72.5, 72.5","My Soul, Your Beats",Angel Beats,Lia,,2010,Anime,
000015,,G Major,70,again,Fullmetal Alchemist: Brotherhood,yui,,2010,Anime,
000016,,G Major,75.5,Uragirinoyuuyake,Durarara!!,Theatre Brook,,2010,Anime,
000017,"Verse 1, Prechorus, Chorus, Verse 2","A Major, C Major, A Major, A Major","85, 85, 85, 130",God only knows,The World God Only Knows,Oratorio The World God Only Knows (ELISA),,2010,Anime,
000018,,A Major,86.5,Snow Halation,Love Live! School Idol Project,μ's,,2010,Anime,
000019,,E Major,85,Balance KISS,Kiss X Sis,"Ayana Taketatsu, Yuiko Tatsumi",,2010,Anime,
000020,,E Major,75,Bouken Desho Desho?,The Disappearance of Haruhi Suzumiya,Aya Hirano,,2010,Anime,
000021,,E Major,76.5,Loop-the-Loop,Motto To Love-Ru,KOTOKO,,2010,Anime,
000022,,C Major,84,My Dearest,Guilty Crown,supercell,,2011,Anime,
000023,"Verse, Prechorus, Chorus","G Major, G Major, A Major","76, 76, 76",oath sign,Fate/Zero,LiSA,,2011,Anime,
000024,"Intro, Verse, Chorus, Bridge","G# Major, C# Major, A# Major, D Major","80, 80, 80, 80",departure!,Hunter x Hunter (2011),Masatoshi Ono,,2011,Anime,
000025,"Intro, Verse, Prechorus, Chorus","D# Major, F Major, D# Major, D# Major","84, 84, 84, 84",Be Starters!,Mayo Chiki!,Eri Kitamura,,2011,Anime,
000026,"Verse, Chorus","D Major, B Major","86, 86",The Everlasting Guilty,Guilty Crown,EGOIST,,2011,Anime,
000027,"Verse, Chorus, Last Chorus","E Major, E Major, F Major","76, 76, 76",Nakimushi.,You and Me.,Miku Sawai,,2011,Anime,
000028,,A Major,77,Dream of Life,Bakuman.: Season 2,Shohei Itou,,2011,Anime,
000029,,D Major,85,Kimi + Nazo + Watashi de JUMP!!,Baka & Test: Summon the Beasts,Larval Stage Planning,,2011,Anime,
000030,,D Major,72,Departures (Anata ni Okuru Ai no Uta),Guilty Crown,EGOIST,,2011,Anime,
000031,"Verse, Chorus","F Major, C Major","80.5, 80.5",Hacking To The Gate,Steins;Gate,Kanako Itou,,2011,Anime,
000032,"Verse, Chorus","E Major, F# Major","77, 77",Fly Away,Maken-ki!,Togashi Misuzu,,2011,Anime,
000033,,A# Major,83,Destin Histoire,Gosick,yoshiki*lisa,,2011,Anime,
000034,"Verse, Chorus","D Major, E Major","77, 77",STRAIGHT JET,Infinite Stratos,Minami Kuribayashi,,2011,Anime,
